,A̱o hid,San Luis Tucuman
0,1946.0,108
1,1947.0,106
2,1948.0,108
3,1949.0,100
4,1950.0,88
5,1951.0,90
6,1952.0,98
7,1953.0,99
8,1954.0,100
9,1955.0,104
10,1956.0,102
11,1957.0,105
12,1958.0,88
13,1959.0,97
14,1960.0,96
15,1961.0,91
16,1962.0,98
17,1963.0,94
18,1964.0,87
19,1965.0,89
20,1966.0,100
21,1967.0,79
22,1968.0,99
23,1969.0,95
24,1970.0,95
25,1971.0,101
26,1972.0,99
27,1973.0,300
28,1974.0,160
29,1975.0,110
30,1976.0,145
31,1977.0,96
32,1978.0,81
33,1979.0,76
34,1980.0,76
35,1981.0,107
36,1982.0,62
37,1983.0,122
38,1984.0,96
39,1985.0,94
40,1986.0,50
41,1987.0,51
42,1988.0,90
43,1989.0,179
44,1990.0,45
45,1991.0,67
46,1992.0,67
47,1993.0,88
48,1994.0,71
49,1995.0,63
50,1996.0,122
51,1997.0,67
52,1998.0,65
53,1999.0,73
54,2000.0,102
55,2001.0,91
56,2002.0,150
57,2003.0,75
58,2004.0,96
59,2005.0,73
